time_s,rho_Area1_per_s,rho_Area2_per_s,rho_Area3_per_s,rho_Area4_per_s,rho_Area5_per_s,omega_Area1_rad_per_s,omega_Area2_rad_per_s,omega_Area3_rad_per_s,omega_Area4_rad_per_s,omega_Area5_rad_per_s,df_Area1_Hz,df_Area2_Hz,df_Area3_Hz,df_Area4_Hz,df_Area5_Hz
10.46,-0.000690012338259099,-9.11464073760823e-05,0.001381751663593,0.00125933824380869,0.00664968327176396,-0.534265041401991,-0.518121759171631,-0.565212128475109,-0.542771846162278,-0.69901182235116,-0.0850309222603229,-0.0824616390956336,-0.089956304142305,-0.0863848222878403,-0.111251186806861
10.47,-0.000661104934791407,-0.000123073681191925,0.00140962306357357,0.00131333126638938,0.00674577583308743,-0.533711938113778,-0.517556050791088,-0.564600509640962,-0.544157229953091,-0.698422429875463,-0.0849428931379634,-0.0823716038105218,-0.0898589619815624,-0.0866053129662276,-0.111157382080933
10.48,-0.000631359625093188,-0.00015507962600582,0.00143682326680804,0.00136618907343631,0.00683806570450506,-0.533167490020597,-0.517007715767386,-0.563984493263639,-0.545535009609662,-0.697748735591115,-0.0848562415326768,-0.082284333581029,-0.0897609199300859,-0.0868245934090623,-0.111050160305446
10.49,-0.000600822046061487,-0.000186182451489152,0.00146311080476895,0.00141828158308922,0.00692603185071418,-0.532631883270962,-0.516476983603475,-0.563364421234124,-0.546904477815831,-0.696991327292734,-0.084770997070919,-0.0821998649336848,-0.0896622324015155,-0.0870425510434814,-0.11092961503082
10.5,-0.000569522771870221,-0.000216930192280513,0.00148835688387446,0.00146979338493142,0.00700950175159959,-0.532105301786774,-0.515964080172113,-0.56274062053291,-0.548264920323946,-0.696150810204056,-0.0846871890247698,-0.0821182338172548,-0.0895629514364131,-0.0872590721934401,-0.110795842581403
10.51,-0.000537455500092363,-0.000247575048859372,0.00151252532413301,0.00152055717815703,0.00708855203087693,-0.531587926045507,-0.515469213618489,-0.562113388051784,-0.549615635218964,-0.695227842346999,-0.0846048461181113,-0.0820394733590746,-0.0894631242865742,-0.0874740451456901,-0.110648947684638
10.52,-0.000504621236297138,-0.000277126935127107,0.00153573332156855,0.00157062147586085,0.00716370887134783,-0.531079935647766,-0.514992588428038,-0.561483012729077,-0.550955921248194,-0.694223115276262,-0.0845239969352676,-0.0819636161040123,-0.0893627969379622,-0.0876873582923992,-0.110489040404872
10.53,-0.000470999251087328,-0.000305987791646916,0.00155812656992971,0.00161995031421009,0.00723550236670811,-0.53058150801429,-0.514534390865083,-0.560849757633648,-0.552285095207464,-0.693137383041826,-0.0844446697136263,-0.0818906916969553,-0.0892620112592866,-0.087898902898246,-0.110316240752887
10.54,-0.000436632981177162,-0.000334461855862658,0.00157974771829448,0.00166855661009854,0.00730408605863581,-0.53009282125973,-0.514094803316818,-0.560213885586534,-0.553602482802972,-0.691971448137966,-0.0843668928010146,-0.0818207291657274,-0.0891608090798144,-0.088108571646039,-0.110130676449614
10.55,-0.000401518126737922,-0.00036236402772894,0.0016005635634847,0.00171640278651752,0.00736929172022927,-0.529614051827106,-0.513673989576228,-0.559575633584526,-0.554907429062079,-0.690726173276332,-0.0842906942792112,-0.0817537545787914,-0.0890592281187566,-0.0883162602936451,-0.109932484799877
